Condition-based pool: 0/20 trials served out of FIFO order
  trial 0: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 1: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 2: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 3: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 4: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 5: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 6: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 7: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 8: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 9: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 10: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 11: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 12: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 13: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 14: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 15: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 16: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 17: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 18: ['w0', 'w1', 'w2', 'w3', 'late']
  trial 19: ['w0', 'w1', 'w2', 'w3', 'late']
